report |reports |report,4/10/2014,20,5,0.25
report |reports |report,5/10/2014,13,3,0.23076923076923078
report |reports |report,6/10/2014,23,9,0.391304347826087
report |reports |report,8/10/2014,21,3,0.14285714285714285
report |reports |report,30/09/2014,25,2,0.08
report |reports |report,9/10/2014,21,4,0.19047619047619047
report |reports |report,7/10/2014,23,5,0.21739130434782608
report |reports |report,2/10/2014,24,3,0.125
report |reports |report,1/10/2014,18,5,0.2777777777777778
report |reports |report,3/10/2014,20,4,0.2
